item_code,item_code_raw,item_name,category,section,severity_guide,check_content,check_purpose,security_threat,reference_note,target,criteria_safe,criteria_vuln,remediation,impact,detail,reference,page_start,page_end,guide_version
U-11,U-11,사용자 shell 점검,UNIX 서버,UNIX > 1. 계정 관리,하,"로그인이 불필요한 계정(adm, sys, daemon 등)에 쉘 부여 여부 점검","로그인이 불필요한 계정에 부여된 쉘을 제거하여, 로그인이 필요하지 않은 계정을 통한 시스템 명령어를
실행하지 못하게 하기 위함","로그인이 불필요한 계정에 쉘이 부여될 경우, 비인가자가 해당 기본 계정으로 시스템에 접근 위험이 존재함","※ 쉘(Shell): 대화형 사용자 인터페이스로써, 운영체제(OS) 가장 외곽계층에 존재하여 사용자의
명령어를 이해하고 실행함
※ /bin/false: 시스템 접근을 항상 실패로 처리해 로그인을 차단하고, 사용자에게 메시지를 출력하지
않으며, 서비스 계정의 직접 접근 차단에 사용됨
※ /sbin/nologin: 로그인 시 “This account is currently not available” 메시지를 출력하며 접근을
차단하고, FTP와 같은 일부 서비스의 접근은 허용됨","SOLARIS, LINUX, AIX, HP-UX 등",로그인이 필요하지 않은 계정에 /bin/false(/sbin/nologin) 쉘이 부여된 경우,로그인이 필요하지 않은 계정에 /bin/false(/sbin/nologin) 쉘이 부여되지 않은 경우,로그인이 필요하지 않은 계정에 대해 /bin/false(/sbin/nologin) 쉘 부여 설정,일반적인 경우 영향 없음,,,35,35,2026
U-12,U-12,세션 종료 시간 설정,UNIX 서버,UNIX > 1. 계정 관리,하,사용자 쉘에 대한 환경설정 파일에서 Session Timeout 설정 여부 점검,사용자의 고의 또는 실수로 시스템에 계정이 접속된 상태로 방치됨을 차단하기 위함,"Session timeout 값이 설정되지 않을 경우, 유휴 시간 내 비인가자가 시스템에 접근하여 불필요한 내부
정보를 노출할 위험이 존재함","※ Session: 프로세스들 사이에 통신을 수행하기 위해서 메시지 교환을 통해 서로를 인식한 이후부터
통신을 마칠 때까지의 시간","SOLARIS, LINUX, AIX, HP-UX 등",Session Timeout이 600초(10분) 이하로 설정된 경우,Session Timeout이 600초(10분) 이하로 설정되지 않은 경우,600초(10분) 동안 입력이 없는 경우 접속된 Session을 끊도록 설정,모니터링 용도일 경우 세션 타임 설정 시 모니터링 업무가 불가할 수 있으므로 예외 처리 필요,,,36,36,2026
U-13,U-13,안전한 비밀번호 암호화 알고리즘 사용,UNIX 서버,UNIX > 1. 계정 관리,중,안전한 비밀번호 암호화 알고리즘을 사용 여부 점검,안전한 비밀번호 암호화 알고리즘을 사용하여 사용자 계정정보를 보호하기 위함,"취약한 비밀번호 암호화 알고리즘을 사용할 경우, 노출된 계정에 대해 비인가자가 암호 복호화 공격을
통해 비밀번호를 획득할 위험이 존재함","※ 비밀번호 암호화 알고리즘 저장 방식을 바꾸어도 passwd 명령을 이용하여 재설정해야 변경된
비밀번호 암호화 알고리즘이 적용되므로 취약한 비밀번호 암호화 알고리즘을 사용하고 있는 모든
계정 비밀번호 재설정 필요
※ 비밀번호 암호화 알고리즘: $1 : MD5 / $2 : Blowfish / $5 : SHA-256 / $6 : SHA-512","SOLARIS, LINUX, AIX, HP-UX 등",SHA-2 이상의 안전한 비밀번호 암호화 알고리즘을 사용하는 경우,취약한 비밀번호 암호화 알고리즘을 사용하는 경우,SHA-2 이상의 안전한 비밀번호 암호화 알고리즘 적용 설정,일반적인 경우 영향 없음,,,37,38,2026
U-14,U-14,"root 홈, 패스 디렉터리 권한 및 패스 설정",UNIX 서버,UNIX > 2. 파일 및 디렉토리 관리,상,root 계정의 PATH 환경변수에 “.”(마침표)이 포함 여부 점검,비인가자가 불법적으로 생성한 디렉터리 및 명령어를 우선으로 실행되지 않도록 설정하기 위함,"root 계정의 PATH 환경변수에 정상적인 관리자 명령어(ls, mv, cp 등)의 디렉터리 경로보다 현재
디렉터리를 지칭하는 “.” 표시가 우선하면 현재 디렉터리에 변조된 명령어를 삽입하여 관리자 명령어
입력 시 악의적인 기능이 실행될 수 있는 위험이 존재함","※ 환경변수: 프로세스가 컴퓨터에서 동작하는 방식에 영향을 미치는 동적인 값들의 집합으로 PATH
환경변수는 실행 파일을 찾는 경로에 대한 변수를 뜻함","SOLARIS, LINUX, AIX, HP-UX 등",PATH 환경변수에 “.” 이 맨 앞이나 중간에 포함되지 않은 경우,PATH 환경변수에 “.” 이 맨 앞이나 중간에 포함된 경우,"root 계정의 환경설정 파일(/.profile, /.bashrc 등)과 시스템 환경설정 파일(/etc/profile 등)에 설정된
PATH 환경변수에서 현재 디렉터리를 나타내는 “.”을 PATH 환경변수의 마지막으로 이동하도록 설정
※ /etc/profile 파일, root 계정, 일반 사용자 계정의 환경설정 파일을 순차적으로 검색하여 확인",일반적인 경우 영향 없음,,,39,39,2026
U-15,U-15,파일 및 디렉터리 소유자 설정,UNIX 서버,UNIX > 2. 파일 및 디렉토리 관리,상,소유자가 존재하지 않는 파일 및 디렉터리의 존재 여부 점검,"소유자가 존재하지 않는 파일 및 디렉터리를 제거 또는 관리하여 임의의 사용자가 해당 파일을 열람,
수정하는 행위를 사전에 차단하기 위함","소유자가 존재하지 않는 파일의 UID와 동일한 값으로 특정 계정의 UID를 변경하면 해당 파일의
소유자가 되어 모든 작업이 가능한 위험이 존재함","※ 소유자가 존재하지 않는 파일 및 디렉터리는 일반적으로 퇴직자의 자료, 관리 소홀로 인해 생긴 파일
또는 해킹으로 인한 공격자가 만들어 놓은 악의적인 파일임","SOLARIS, LINUX, AIX, HP-UX 등",소유자가 존재하지 않는 파일 및 디렉터리가 존재하지 않는 경우,소유자가 존재하지 않는 파일 및 디렉터리가 존재하는 경우,소유자가 존재하지 않는 파일 및 디렉터리 제거 또는 소유자 변경 설정,일반적인 경우 영향 없음,,,40,40,2026
U-16,U-16,/etc/passwd 파일 소유자 및 권한 설정,UNIX 서버,UNIX > 2. 파일 및 디렉토리 관리,상,/etc/passwd 파일 권한 적절성 여부 점검,/etc/passwd 파일을 관리자만 제어할 수 있게 하여 비인가자들의 임의적인 파일 변조를 방지하기 위함,"비인가자가 /etc/passwd 파일의 사용자 정보를 변조하여 Shell 변경, 사용자 추가/제거 등 root
계정을 포함한 사용자 권한 획득 위험이 존재함","※ /etc/passwd: 사용자의 ID, UID, GID, 홈 디렉터리, 쉘 정보를 담고 있는 파일","SOLARIS, LINUX, AIX, HP-UX 등","/etc/passwd 파일의 소유자가 root이고, 권한이 644 이하인 경우","/etc/passwd 파일의 소유자가 root가 아니거나, 권한이 644 이하가 아닌 경우",/etc/passwd 파일 소유자 및 권한 변경 설정,일반적인 경우 영향 없음,,,41,41,2026
U-17,U-17,시스템 시작 스크립트 권한 설정,UNIX 서버,UNIX > 2. 파일 및 디렉토리 관리,상,시스템 시작 스크립트 파일 권한 적절성 여부 점검,"시스템 시작 스크립트 파일을 관리자만 제어할 수 있게 하여 비인가자들의 임의적인 파일 변조를
방지하기 위함","시스템 시작 스크립트 파일의 소유권 및 권한 설정이 미흡할 경우, 비인가자가 스크립트의 내용 변경
등을 통해 시스템 침입 등 악용할 위험이 존재함","※ 시스템 시작 스크립트: 운영체제 부팅 시 자동으로 실행되어 시스템 초기화 작업을 수행하고, 필요한
서비스와 데몬을 시작하는 스크립트","SOLARIS, LINUX, AIX, HP-UX 등","시스템 시작 스크립트 파일의 소유자가 root이고, 일반 사용자의 쓰기 권한이 제거된 경우","시스템 시작 스크립트 파일의 소유자가 root가 아니거나, 일반 사용자의 쓰기 권한이 부여된 경우",시스템 시작 스크립트 파일 소유자 및 권한 변경 설정,일반적인 경우 영향 없음,,,42,43,2026
U-18,U-18,/etc/shadow 파일 소유자 및 권한 설정,UNIX 서버,UNIX > 2. 파일 및 디렉토리 관리,상,/etc/shadow 파일 권한 적절성 여부 점검,/etc/shadow 파일을 관리자만 제어할 수 있게 하여 비인가자들의 임의적인 파일 변조를 방지하기 위함,/etc/shadow 파일에 저장된 암호화된 해시값을 복호화하여(크래킹) 비밀번호를 탈취할 위험이 존재함,※ /etc/shadow: 시스템에 등록된 모든 계정의 비밀번호를 암호화된 형태로 저장 및 관리하는 파일,"SOLARIS, LINUX, AIX, HP-UX 등","/etc/shadow 파일의 소유자가 root이고, 권한이 400 이하인 경우","/etc/shadow 파일의 소유자가 root가 아니거나, 권한이 400 이하가 아닌 경우",/etc/shadow 파일 소유자 및 권한 변경 설정,일반적인 경우 영향 없음,,,44,44,2026
U-19,U-19,/etc/hosts 파일 소유자 및 권한 설정,UNIX 서버,UNIX > 2. 파일 및 디렉토리 관리,상,/etc/hosts 파일의 권한 적절성 여부 점검,/etc/hosts 파일을 관리자만 제어할 수 있게 하여 비인가자들의 임의적인 파일 변조를 방지하기 위함,"Ÿ /etc/hosts 파일에 비인가자가 쓰기 권한이 부여된 경우, 공격자는 /etc/hosts 파일에 악의적인
시스템을 등록하여, 이를 통해 정상적인 DNS를 우회하여 악성 사이트로의 접속을 유도하는
파밍(Pharming) 공격 등에 악용될 수 있는 위험이 존재함
Ÿ /etc/hosts 파일에 소유자의 쓰기 권한이 부여된 경우, 일반 사용자 권한으로 /etc/hosts 파일에
변조된 IP주소를 등록하여 정상적인 DNS를 방해하고 악성 사이트로의 접속을 유도하는
파밍(Pharming) 공격 등에 악용될 수 있는 위험이 존재함","※ /etc/hosts: IP주소와 호스트 이름을 매핑하는 파일. 일반적으로 인터넷 통신 시 주소를 찾기 위해
도메인 네임 서비스(DNS)보다 /etc/hosts 파일을 먼저 참조함. /etc/hosts 파일은 문자열
주소로부터 IP주소를 수신받는 DNS 서버와는 달리 파일 내에 직접 문자열 주소와 IP주소를
매핑하여 기록하며, DNS 서버 접근 이전에 확인하여 해당 문자열 주소가 목록에 존재할 시 그
문자열 주소에 해당하는 IP주소로 연결함
※ 파밍(Pharming): 사용자의 DNS 또는 /etc/hosts 파일을 변조함으로써 정상적인 사이트로
오인하여 접속하도록 유도한 뒤 개인정보를 훔치는 새로운 컴퓨터 범죄 수법","SOLARIS, LINUX, AIX, HP-UX 등","/etc/hosts 파일의 소유자가 root이고, 권한이 644 이하인 경우","/etc/hosts 파일의 소유자가 root가 아니거나, 권한이 644 이하가 아닌 경우",/etc/hosts 파일 소유자 및 권한 변경 설정,/etc/hosts 파일에 시스템 정보가 설정된 경우 해당 파일을 참조하는 서비스에 영향을 미칠 수 있음,,,45,45,2026
U-20,U-20,/etc/(x)inetd.conf 파일 소유자 및 권한 설정,UNIX 서버,UNIX > 2. 파일 및 디렉토리 관리,상,/etc/(x)inetd.conf 파일 권한 적절성 여부 점검,/etc/(x)inetd.conf 파일을 관리자만 제어하여 비인가자들의 임의적인 파일 변조를 방지하기 위함,"/etc/(x)inetd.conf 파일에 소유자 외 쓰기 권한이 부여된 경우, 일반 사용자 권한으로 해당 파일에
등록된 서비스를 변조하거나 악의적인 프로그램(서비스)을 등록할 수 있는 위험이 존재함","※ (x)inetd(슈퍼데몬): 자주 사용하지 않는 서비스가 상시 실행되어 메모리를 점유하는 것을 방지하기
위해 (x)inetd(슈퍼데몬)에 자주 사용하지 않는 서비스를 등록하여 요청이 있을 시에만 해당
서비스를 실행하고 요청이 끝나면 서비스를 종료하는 역할 수행","SOLARIS, LINUX, AIX, HP-UX 등","/etc/(x)inetd.conf 파일의 소유자가 root이고, 권한이 600 이하인 경우","/etc/(x)inetd.conf 파일의 소유자가 root가 아니거나, 권한이 600 이하가 아닌 경우",/etc/(x)inetd.conf 파일 소유자 및 권한 변경 설정,일반적인 경우 영향 없음,,,46,47,2026
U-21,U-21,/etc/(r)syslog.conf 파일 소유자 및 권한 설정,UNIX 서버,UNIX > 2. 파일 및 디렉토리 관리,상,/etc/(r)syslog.conf 파일 권한 적절성 여부 점검,"/etc/(r)syslog.conf 파일의 권한 적절성을 점검하여, 비인가자의 임의적인 /etc/(r)syslog.conf 파일
변조를 방지하기 위함","/etc/(r)syslog.conf 파일의 설정 내용을 참조하여 로그의 저장 위치가 노출되며 로그를 기록하지
않도록 설정하거나 대량의 로그를 기록하게 하여 시스템 과부하를 유도할 수 있는 위험이 존재함","※ /etc/(r)syslog.conf: (r)syslogd 데몬 실행 시 참조되는 설정 파일로 시스템 로그 기록의 종류,
위치 및 Level을 설정할 수 있음","SOLARIS, LINUX, AIX, HP-UX 등","/etc/(r)syslog.conf 파일의 소유자가 root(또는 bin, sys)이고, 권한이 640 이하인 경우","/etc/(r)syslog.conf 파일의 소유자가 root(또는 bin, sys)가 아니거나, 권한이 640 이하가 아닌 경우",/etc/(r)syslog.conf 파일 소유자 및 권한 변경 설정,일반적인 경우 영향 없음,,,48,48,2026
U-22,U-22,/etc/services 파일 소유자 및 권한 설정,UNIX 서버,UNIX > 2. 파일 및 디렉토리 관리,상,/etc/services 파일 권한 적절성 여부 점검,"/etc/services 파일을 관리자만 제어할 수 있게 하여 비인가자들의 임의적인 파일 변조를 방지하기
위함","/etc/services 파일의 접근 권한이 적절하지 않을 경우, 비인가 사용자가 운영 포트 번호를 변경하여
정상적인 서비스를 제한하거나 허용되지 않은 포트를 오픈하여 악성 서비스를 의도적으로 실행할 수
있는 위험이 존재함","※ /etc/services: 서비스 관리를 위해 사용되는 파일. 해당 파일에 서버에서 사용하는 모든 포트에
대해 정의되어 있으며, 필요시 서비스 기본 사용 포트를 변경하여 네트워크 서비스를 운용할 수 있음","SOLARIS, LINUX, AIX, HP-UX 등","/etc/services 파일의 소유자가 root(또는 bin, sys)이고, 권한이 644 이하인 경우","/etc/services 파일의 소유자가 root(또는 bin, sys)가 아니거나, 권한이 644 이하가 아닌 경우",/etc/ services 파일 소유자 및 권한 변경 설정,일반적인 경우 영향 없음,,,49,49,2026
U-23,U-23,"SUID, SGID, Sticky bit 설정 파일 점검",UNIX 서버,UNIX > 2. 파일 및 디렉토리 관리,상,"불필요하거나 악의적인 파일에 SUID, SGID, Sticky bit 설정 여부 점검","불필요한 SUID, SGID, Sticky bit 설정 제거로 악의적인 사용자의 권한 상승을 방지하기 위함","SUID, SGID, Sticky bit 설정이 적절하지 않을 경우, SUID, SGID, Sticky bit가 설정된 파일로 특정
명령어를 실행하여 root 권한 획득이 가능한 위험이 존재함","※ SUID: 설정된 파일 실행 시, 특정 작업 수행을 위하여 일시적으로 파일 소유자의 권한을 얻게 됨
※ SGID: 설정된 파일 실행 시, 특정 작업 수행을 위하여 일시적으로 파일 소유 그룹의 권한을 얻게 됨
※ Sticky bit: 설정된 파일의 수정/삭제는 소유자만 가능한 권한","SOLARIS, LINUX, AIX, HP-UX 등",주요 실행 파일의 권한에 SUID와 SGID에 대한 설정이 부여되어 있지 않은 경우,주요 실행 파일의 권한에 SUID와 SGID에 대한 설정이 부여된 경우,"Ÿ 불필요한 SUID, SGID 권한 또는 해당 파일 제거하도록 설정
Ÿ 애플리케이션에서 생성한 파일이나 사용자가 임의로 생성한 파일 등 의심스럽거나 특이한 파일에
SUID 권한이 부여된 경우 제거하도록 설정","SUID, SGID, Sticky bit 설정 파일 제거 시, OS 및 응용프로그램 등 서비스 정상 작동 확인 필요",,,50,50,2026
